"interaction","name","score","selected","shared interaction","shared name"
"correlates-with","FUBP1 (correlates-with) HNRNPL","0.9993","false","correlates-with","FUBP1 (correlates-with) HNRNPL"
"correlates-with","CHD8 (correlates-with) FUBP1","0.9956","false","correlates-with","CHD8 (correlates-with) FUBP1"
"correlates-with","SF3A3 (correlates-with) CCNT1","0.9959","false","correlates-with","SF3A3 (correlates-with) CCNT1"
"correlates-with","SMC4 (correlates-with) HLA-C","0.9959","false","correlates-with","SMC4 (correlates-with) HLA-C"
"correlates-with","PRPF8 (correlates-with) SNRNP200","0.9997","false","correlates-with","PRPF8 (correlates-with) SNRNP200"
"correlates-with","CHD8 (correlates-with) CCNT1","0.9982","false","correlates-with","CHD8 (correlates-with) CCNT1"
"correlates-with","RAB21 (correlates-with) RAB12","0.9987","false","correlates-with","RAB21 (correlates-with) RAB12"
"correlates-with","KHDRBS1 (correlates-with) RPL10","0.9984","false","correlates-with","KHDRBS1 (correlates-with) RPL10"
"correlates-with","MBNL1 (correlates-with) PRPF8","0.9964","false","correlates-with","MBNL1 (correlates-with) PRPF8"
"correlates-with","PRPF8 (correlates-with) U2AF2","0.9962","false","correlates-with","PRPF8 (correlates-with) U2AF2"
"correlates-with","FUBP1 (correlates-with) U2AF2","0.9996","false","correlates-with","FUBP1 (correlates-with) U2AF2"
"correlates-with","U2AF2 (correlates-with) HNRNPL","0.9998","false","correlates-with","U2AF2 (correlates-with) HNRNPL"
"correlates-with","FUBP1 (correlates-with) SF3A3","0.9996","false","correlates-with","FUBP1 (correlates-with) SF3A3"
"correlates-with","BAZ1B (correlates-with) BPTF","0.9992","false","correlates-with","BAZ1B (correlates-with) BPTF"
"correlates-with","PRPF8 (correlates-with) KHDRBS1","0.9962","false","correlates-with","PRPF8 (correlates-with) KHDRBS1"
"correlates-with","FUBP1 (correlates-with) SF3A3","0.998","false","correlates-with","FUBP1 (correlates-with) SF3A3"
"correlates-with","SF3A3 (correlates-with) KHDRBS1","0.9993","false","correlates-with","SF3A3 (correlates-with) KHDRBS1"
"correlates-with","BCLAF1 (correlates-with) SF3A3","0.9976","false","correlates-with","BCLAF1 (correlates-with) SF3A3"
"correlates-with","BCLAF1 (correlates-with) MBNL1","0.9976","false","correlates-with","BCLAF1 (correlates-with) MBNL1"
"correlates-with","U2AF2 (correlates-with) SNRNP200","0.9965","false","correlates-with","U2AF2 (correlates-with) SNRNP200"
"correlates-with","FUBP1 (correlates-with) PABPC1","0.9985","false","correlates-with","FUBP1 (correlates-with) PABPC1"
"correlates-with","HLA-A (correlates-with) VCL","0.9983","false","correlates-with","HLA-A (correlates-with) VCL"
"correlates-with","BPTF (correlates-with) PHF14","0.9951","false","correlates-with","BPTF (correlates-with) PHF14"
"correlates-with","KHDRBS1 (correlates-with) HNRNPL","0.9997","false","correlates-with","KHDRBS1 (correlates-with) HNRNPL"
"correlates-with","KHDRBS1 (correlates-with) PABPC1","0.9985","false","correlates-with","KHDRBS1 (correlates-with) PABPC1"
"correlates-with","KHDRBS1 (correlates-with) U2AF2","0.9997","false","correlates-with","KHDRBS1 (correlates-with) U2AF2"
"correlates-with","RPL10 (correlates-with) HSP90AB1","0.9965","false","correlates-with","RPL10 (correlates-with) HSP90AB1"
"correlates-with","RRP7A (correlates-with) BMS1","0.9976","false","correlates-with","RRP7A (correlates-with) BMS1"
"correlates-with","PRPF8 (correlates-with) HNRNPL","0.9974","false","correlates-with","PRPF8 (correlates-with) HNRNPL"
"correlates-with","BCLAF1 (correlates-with) KHDRBS1","0.9986","false","correlates-with","BCLAF1 (correlates-with) KHDRBS1"
"correlates-with","PRPF8 (correlates-with) SF3A3","0.9974","false","correlates-with","PRPF8 (correlates-with) SF3A3"
"correlates-with","U2AF2 (correlates-with) PABPC1","0.9975","false","correlates-with","U2AF2 (correlates-with) PABPC1"
"correlates-with","SF3A3 (correlates-with) HNRNPL","0.9969","false","correlates-with","SF3A3 (correlates-with) HNRNPL"
"correlates-with","MBNL1 (correlates-with) KHDRBS1","0.9987","false","correlates-with","MBNL1 (correlates-with) KHDRBS1"
"correlates-with","FUBP1 (correlates-with) SNRNP200","0.9952","false","correlates-with","FUBP1 (correlates-with) SNRNP200"
"correlates-with","AP2M1 (correlates-with) UBR4","0.9956","false","correlates-with","AP2M1 (correlates-with) UBR4"
"correlates-with","SMC4 (correlates-with) FANCD2","0.9994","false","correlates-with","SMC4 (correlates-with) FANCD2"
"correlates-with","MBNL1 (correlates-with) HNRNPL","0.9997","false","correlates-with","MBNL1 (correlates-with) HNRNPL"
"correlates-with","BCLAF1 (correlates-with) HNRNPL","0.9994","false","correlates-with","BCLAF1 (correlates-with) HNRNPL"
"correlates-with","HNRNPL (correlates-with) PABPC1","0.9976","false","correlates-with","HNRNPL (correlates-with) PABPC1"
"correlates-with","HLA-B (correlates-with) HLA-C","0.9956","false","correlates-with","HLA-B (correlates-with) HLA-C"
"correlates-with","FUBP1 (correlates-with) KHDRBS1","0.9998","false","correlates-with","FUBP1 (correlates-with) KHDRBS1"
"correlates-with","SMC4 (correlates-with) PRIM2","0.9997","false","correlates-with","SMC4 (correlates-with) PRIM2"
"correlates-with","SF3A3 (correlates-with) U2AF2","0.9989","false","correlates-with","SF3A3 (correlates-with) U2AF2"
"correlates-with","RAB21 (correlates-with) RAB7A","0.9962","false","correlates-with","RAB21 (correlates-with) RAB7A"
"correlates-with","FLNA (correlates-with) VCL","0.9995","false","correlates-with","FLNA (correlates-with) VCL"
"correlates-with","ZNF592 (correlates-with) BPTF","0.9963","false","correlates-with","ZNF592 (correlates-with) BPTF"
"correlates-with","FUBP1 (correlates-with) FUBP1","0.9979","false","correlates-with","FUBP1 (correlates-with) FUBP1"
"correlates-with","MBNL1 (correlates-with) SNRNP200","0.9966","false","correlates-with","MBNL1 (correlates-with) SNRNP200"
"correlates-with","MBNL1 (correlates-with) FUBP1","0.9971","false","correlates-with","MBNL1 (correlates-with) FUBP1"
"correlates-with","RPL10 (correlates-with) PABPC1","0.9994","false","correlates-with","RPL10 (correlates-with) PABPC1"
"correlates-with","CAD (correlates-with) RPL10","0.9953","false","correlates-with","CAD (correlates-with) RPL10"
"correlates-with","BPTF (correlates-with) CCNT1","0.9962","false","correlates-with","BPTF (correlates-with) CCNT1"
"correlates-with","SPTAN1 (correlates-with) SPTAN1","0.9999","false","correlates-with","SPTAN1 (correlates-with) SPTAN1"
"correlates-with","FUBP1 (correlates-with) RPL10","0.9967","false","correlates-with","FUBP1 (correlates-with) RPL10"
"correlates-with","BAZ1B (correlates-with) PHF14","0.9958","false","correlates-with","BAZ1B (correlates-with) PHF14"
"correlates-with","MBNL1 (correlates-with) U2AF2","0.9992","false","correlates-with","MBNL1 (correlates-with) U2AF2"
"correlates-with","SF3A3 (correlates-with) SNRNP200","0.9975","false","correlates-with","SF3A3 (correlates-with) SNRNP200"
"correlates-with","FANCD2 (correlates-with) PRIM2","0.9993","false","correlates-with","FANCD2 (correlates-with) PRIM2"
"correlates-with","FUBP1 (correlates-with) CCNT1","0.9969","false","correlates-with","FUBP1 (correlates-with) CCNT1"
"correlates-with","FUBP1 (correlates-with) CCNT1","0.9969","false","correlates-with","FUBP1 (correlates-with) CCNT1"
"correlates-with","FUBP1 (correlates-with) PRPF8","0.995","false","correlates-with","FUBP1 (correlates-with) PRPF8"
"correlates-with","HADHB (correlates-with) SDHA","0.9978","false","correlates-with","HADHB (correlates-with) SDHA"
"correlates-with","CHD8 (correlates-with) PRIM2","0.995","false","correlates-with","CHD8 (correlates-with) PRIM2"
"correlates-with","HNRNPL (correlates-with) HSP90AB1","0.9983","false","correlates-with","HNRNPL (correlates-with) HSP90AB1"
"correlates-with","HNRNPL (correlates-with) SNRNP200","0.9979","false","correlates-with","HNRNPL (correlates-with) SNRNP200"
"correlates-with","VPS13A (correlates-with) EML2","0.9961","false","correlates-with","VPS13A (correlates-with) EML2"
"correlates-with","BCLAF1 (correlates-with) FUBP1","0.9984","false","correlates-with","BCLAF1 (correlates-with) FUBP1"
"correlates-with","BCLAF1 (correlates-with) U2AF2","0.9992","false","correlates-with","BCLAF1 (correlates-with) U2AF2"
"correlates-with","KHDRBS1 (correlates-with) SNRNP200","0.9963","false","correlates-with","KHDRBS1 (correlates-with) SNRNP200"
